SIZEIS: 2048 1
14.4922 10.4922 136 2
-18.5 -13.5 163 2
6.99609 0.999512 171 2
7 3 184 2
9.49219 -11.5 167 2
6.99609 -2 180 2
5.99609 -1.01328e-05 198 2
3.99805 -1 211 2
10.9922 0.999512 191 2
4.99609 6.99609 210 2
6.99609 0.999512 159 2
4.99609 -11 181 2
4.49609 -19.5 142 2
9.49219 -18.5 149 2
14.9922 -9.59635e-06 197 2
7.5 6.5 222 2
32592 -11.5 169 2
-16272 16272 24631 2
3.5 1.5 109 2
7.49609 -16.5 124 2
8.99219 -25 93 2
9.49219 -5.5 98 2
1.5 -20.5 142 2
-15 -21 132 2
-17 -16 107 2
16 3 85 2
7.99609 -6 58 2
-1.90735e-06 -23 83 2
-6 22 67 2
15 26 61 2
7.99609 1.99902 67 2
22.9844 -1 88 2
6.99609 17 93 2
5.49609 7.49609 104 2
7.99609 7.99609 107 2
1 20 118 2
22.4844 9.49219 119 2
15.4922 11.4922 164 2
16320 -16312 8290 2
16304 -16304 24613 2
-2.5 33.5 177 2
-18 26.9844 168 2
20.9844 0.999512 134 2
26.4844 0.499756 177 2
12 -15 137 2
20 -24 168 2
7.49609 5.49609 222 2
-12 9.99219 216 2
6.99609 -34 206 2
1.99902 -16 205 2
-0 0 0 16
-0 0 0 16
-0 0 0 16
-0 0 0 8
-0 0 0 4
-0 0 0 2
32752 32752 -16383 2
-0 0 0 2
-0 0 0 2
-0 0 0 4
-0 0 0 2
32752 32752 -16383 2
-0 0 0 2
4.5 5.5 32764 2
-0 0 0 8
-0 0 0 4
32768 -32752 16383 2
4.5 0.5 9 2
3.5 0.5 0 2
3.49805 2.5 7 2
-0 0 0 4
65504 -0.5 0 2
50 26 1 2
65504 -2.5 1 2
-32656 0.998047 -32768 2
-0 0 0 4
-0 0 0 2
-65504 3.99609 -4 2
-0 0 0 2
-65504 -3.50195 0 2
-0 0 0 4
-0 0 0 2
19 -1.99902 3 2
-0 0 0 2
-0 -4 -32767 2
